Phase,Dataset,Algorithm,Vectorization,Average
Phase 4-B,FNFC,AdaCost,MPNet,0.7951841359773371
Phase 4-B,FNFC,CS-KNN,MPNet,0.839943342776204
Phase 4-B,FNFC,CS-SVM (Linear),GloVe,0.836685552407932
Phase 4-B,FNFC,CS-SVM (RBF),GloVe,0.856657223796034
Phase 4-B,FNFC,CS-DT,GloVe,0.7729461756373938
Phase 4-B,FNFC,CS-LR,GloVe,0.843342776203966
Phase 4-B,FNFC,CS-RF,GloVe,0.8618980169971671
Phase 4-B,FNFC,MetaCost,GloVe,0.7389518413597733
Phase 4-B,FNFC,AdaCost,GloVe,0.7733711048158639
Phase 4-B,FNFC,CS-KNN,GloVe,0.8130311614730878
Phase 4-B,FNFC,CS-SVM (Linear),Word2Vec,0.8358356940509916
Phase 4-B,FNFC,CS-SVM (RBF),Word2Vec,0.8541076487252125
Phase 4-B,FNFC,CS-DT,Word2Vec,0.7601983002832862
Phase 4-B,FNFC,CS-LR,Word2Vec,0.8538243626062323
Phase 4-B,FNFC,CS-RF,Word2Vec,0.8569405099150142
Phase 4-B,FNFC,MetaCost,Word2Vec,0.7310198300283286
Phase 4-B,FNFC,AdaCost,Word2Vec,0.7947592067988669
Phase 4-B,FNFC,CS-KNN,Word2Vec,0.7458923512747875
