Phase,Dataset,Algorithm,Vectorization,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Average
Overall,FNFC,BiCNN,GloVe,0.8541076487252125,0.8505665722379604,0.8541076487252125,0.853399433427762,0.8477337110481586,0.8519830028328613
Stage 1,FNFC,BiLSTM,GloVe,0.8583569405099151,0.876770538243626,0.8689801699716714,0.8760623229461756,0.8803116147308782,0.8720963172804532
Stage 2,FNFC,BiLSTM,GloVe,0.6019417475728155,0.5097087378640777,0.587378640776699,0.6262135922330098,0.5436893203883495,0.5737864077669903
Overall,FNFC,BiLSTM,GloVe,0.8321529745042493,0.8463172804532578,0.8498583569405099,0.8477337110481586,0.8597733711048159,0.8471671388101983
Stage 1,FNFC,CNN,GloVe,0.8541076487252125,0.8498583569405099,0.853399433427762,0.8519830028328612,0.8541076487252125,0.8526912181303116
Stage 2,FNFC,CNN,GloVe,0.23786407766990292,0.23786407766990292,0.23786407766990292,0.23300970873786409,0.22815533980582525,0.2349514563106796
Overall,FNFC,CNN,GloVe,0.8541076487252125,0.8491501416430595,0.8519830028328612,0.8519830028328612,0.8541076487252125,0.8522662889518413
Stage 1,FNFC,DNN,GloVe,0.8718130311614731,0.8781869688385269,0.8604815864022662,0.8696883852691218,0.8668555240793201,0.8694050991501416
Stage 2,FNFC,DNN,GloVe,0.587378640776699,0.49514563106796117,0.5194174757281553,0.5097087378640777,0.5339805825242718,0.5291262135922331
Overall,FNFC,DNN,GloVe,0.8498583569405099,0.8541076487252125,0.8271954674220963,0.8406515580736544,0.8420679886685553,0.8427762039660056
Stage 1,FNFC,GRU,GloVe,0.8725212464589235,0.8788951841359773,0.8838526912181303,0.8781869688385269,0.8774787535410765,0.8781869688385269
Stage 2,FNFC,GRU,GloVe,0.587378640776699,0.5145631067961165,0.5776699029126213,0.6067961165048543,0.5339805825242718,0.5640776699029126
Overall,FNFC,GRU,GloVe,0.8505665722379604,0.8434844192634561,0.8668555240793201,0.8576487252124646,0.8526912181303116,0.8542492917847024
Stage 1,FNFC,LSTM,GloVe,0.8668555240793201,0.8824362606232294,0.8647308781869688,0.876770538243626,0.8774787535410765,0.8736543909348441
Stage 2,FNFC,LSTM,GloVe,0.5922330097087378,0.5048543689320388,0.5776699029126213,0.5776699029126213,0.5388349514563107,0.558252427184466
Overall,FNFC,LSTM,GloVe,0.8392351274787535,0.8441926345609065,0.8413597733711048,0.8548158640226629,0.8555240793201133,0.8470254957507082
Stage 1,FNFC,BiCNN,Word2Vec,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 2,FNFC,BiCNN,Word2Vec,0.23786407766990292,0.23786407766990292,0.23786407766990292,0.23300970873786409,0.23300970873786409,0.2359223300970874
Overall,FNFC,BiCNN,Word2Vec,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 1,FNFC,BiLSTM,Word2Vec,0.8930594900849859,0.886685552407932,0.8626062322946175,0.876770538243626,0.8781869688385269,0.8794617563739378
Stage 2,FNFC,BiLSTM,Word2Vec,0.6359223300970874,0.529126213592233,0.6262135922330098,0.616504854368932,0.5728155339805825,0.596116504854369
Overall,FNFC,BiLSTM,Word2Vec,0.8711048158640227,0.8576487252124646,0.8406515580736544,0.8491501416430595,0.8491501416430595,0.8535410764872522
Stage 1,FNFC,CNN,Word2Vec,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 2,FNFC,CNN,Word2Vec,0.23786407766990292,0.23786407766990292,0.23786407766990292,0.23300970873786409,0.23300970873786409,0.2359223300970874
Overall,FNFC,CNN,Word2Vec,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 1,FNFC,DNN,Word2Vec,0.8909348441926346,0.8937677053824362,0.8774787535410765,0.8831444759206799,0.8881019830028328,0.886685552407932
Stage 2,FNFC,DNN,Word2Vec,0.558252427184466,0.4854368932038835,0.5145631067961165,0.5388349514563107,0.5145631067961165,0.5223300970873787
Overall,FNFC,DNN,Word2Vec,0.8654390934844193,0.8654390934844193,0.8541076487252125,0.8498583569405099,0.8541076487252125,0.8577903682719545
Stage 1,FNFC,GRU,Word2Vec,0.8873937677053825,0.8895184135977338,0.8654390934844193,0.8824362606232294,0.8881019830028328,0.8825779036827196
Stage 2,FNFC,GRU,Word2Vec,0.6262135922330098,0.5,0.5970873786407767,0.616504854368932,0.5631067961165048,0.5805825242718446
Overall,FNFC,GRU,Word2Vec,0.8689801699716714,0.8583569405099151,0.853399433427762,0.8618980169971672,0.8668555240793201,0.8618980169971671
Stage 1,FNFC,LSTM,Word2Vec,0.8888101983002833,0.8895184135977338,0.863314447592068,0.8852691218130312,0.8944759206798867,0.8842776203966005
Stage 2,FNFC,LSTM,Word2Vec,0.6407766990291263,0.49029126213592233,0.5776699029126213,0.616504854368932,0.5631067961165048,0.5776699029126213
Overall,FNFC,LSTM,Word2Vec,0.8703966005665722,0.8611898016997167,0.8420679886685553,0.8682719546742209,0.8689801699716714,0.8621813031161473
