Phase,Dataset,Algorithm,Vectorization,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Average
Stage 2,PROMISE,CNN,SBERT,0.23809523809523808,0.2358490566037736,0.23809523809523808,0.23809523809523808,0.2403846153846154,0.23810387725482066
Overall,PROMISE,CNN,SBERT,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12953367875647667,0.12899951925644998
Stage 1,PROMISE,DNN,SBERT,0.8350515463917526,0.8350515463917526,0.8556701030927835,0.9175257731958762,0.8341968911917098,0.8554991720527749
Stage 2,PROMISE,DNN,SBERT,0.6666666666666666,0.6037735849056604,0.6761904761904762,0.6761904761904762,0.6826923076923077,0.6611027023291174
Overall,PROMISE,DNN,SBERT,0.6649484536082474,0.6855670103092784,0.7164948453608248,0.7577319587628866,0.6735751295336787,0.6996634795149832
Stage 1,PROMISE,GRU,SBERT,0.8298969072164949,0.845360824742268,0.8556701030927835,0.8969072164948454,0.8238341968911918,0.8503338496875166
Stage 2,PROMISE,GRU,SBERT,0.6571428571428571,0.6037735849056604,0.6857142857142857,0.6666666666666666,0.6923076923076923,0.6611210173474324
Overall,PROMISE,GRU,SBERT,0.6649484536082474,0.6804123711340206,0.7164948453608248,0.7216494845360825,0.6839378238341969,0.6934885956946746
Stage 1,PROMISE,LSTM,SBERT,0.8402061855670103,0.845360824742268,0.865979381443299,0.8969072164948454,0.8186528497409327,0.853421291597671
Stage 2,PROMISE,LSTM,SBERT,0.6666666666666666,0.6132075471698113,0.6857142857142857,0.6666666666666666,0.7307692307692307,0.6726048793973323
Overall,PROMISE,LSTM,SBERT,0.6701030927835051,0.6855670103092784,0.7268041237113402,0.7268041237113402,0.689119170984456,0.699679504299984
Stage 1,PROMISE,BiCNN,BERT,0.654639175257732,0.7010309278350515,0.6391752577319587,0.7268041237113402,0.6424870466321243,0.6728273062336414
Stage 2,PROMISE,BiCNN,BERT,0.2857142857142857,0.3018867924528302,0.3047619047619048,0.3047619047619048,0.3076923076923077,0.30096343907664663
Overall,PROMISE,BiCNN,BERT,0.4639175257731959,0.4845360824742268,0.4020618556701031,0.4329896907216495,0.35233160621761656,0.4271673521713584
Stage 1,PROMISE,BiLSTM,BERT,0.9226804123711341,0.8762886597938144,0.8608247422680413,0.9123711340206185,0.9067357512953368,0.8957801399497891
Stage 2,PROMISE,BiLSTM,BERT,0.638095238095238,0.6886792452830188,0.7047619047619048,0.7238095238095238,0.75,0.7010691823899371
Overall,PROMISE,BiLSTM,BERT,0.7474226804123711,0.7319587628865979,0.7268041237113402,0.7835051546391752,0.7823834196891192,0.7544148282677208
Stage 1,PROMISE,CNN,BERT,0.654639175257732,0.654639175257732,0.5876288659793815,0.6855670103092784,0.6321243523316062,0.6429197158271459
Stage 2,PROMISE,CNN,BERT,0.24761904761904763,0.25471698113207547,0.24761904761904763,0.2571428571428571,0.2980769230769231,0.2610349713179902
Overall,PROMISE,CNN,BERT,0.38144329896907214,0.3556701030927835,0.3556701030927835,0.3402061855670103,0.33678756476683935,0.35395545109769777
Stage 1,PROMISE,DNN,BERT,0.9020618556701031,0.8711340206185567,0.8608247422680413,0.8917525773195877,0.8860103626943006,0.8823567117141178
Stage 2,PROMISE,DNN,BERT,0.6,0.5754716981132075,0.6285714285714286,0.6857142857142857,0.6538461538461539,0.6287207132490151
Overall,PROMISE,DNN,BERT,0.7164948453608248,0.6752577319587629,0.7010309278350515,0.7525773195876289,0.7046632124352331,0.7100048074355001
Stage 1,PROMISE,GRU,BERT,0.9072164948453608,0.8865979381443299,0.8505154639175257,0.9226804123711341,0.9119170984455959,0.8957854815447892
Stage 2,PROMISE,GRU,BERT,0.6571428571428571,0.6698113207547169,0.6761904761904762,0.7238095238095238,0.7307692307692307,0.691544681733361
Overall,PROMISE,GRU,BERT,0.7525773195876289,0.7319587628865979,0.711340206185567,0.7938144329896907,0.772020725388601,0.7523422894076172
Stage 1,PROMISE,LSTM,BERT,0.9123711340206185,0.8814432989690721,0.865979381443299,0.9175257731958762,0.8963730569948186,0.8947385289247368
Stage 2,PROMISE,LSTM,BERT,0.6761904761904762,0.6415094339622641,0.7047619047619048,0.7523809523809524,0.7403846153846154,0.7030454765360427
Overall,PROMISE,LSTM,BERT,0.7577319587628866,0.7164948453608248,0.7371134020618557,0.8092783505154639,0.7616580310880829,0.7564553175578228
Stage 1,PROMISE,BiCNN,MPNet,0.5412371134020618,0.5463917525773195,0.5412371134020618,0.5412371134020618,0.538860103626943,0.5417926392820896
Stage 2,PROMISE,BiCNN,MPNet,0.23809523809523808,0.2358490566037736,0.23809523809523808,0.23809523809523808,0.2403846153846154,0.23810387725482066
Overall,PROMISE,BiCNN,MPNet,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12953367875647667,0.12899951925644998
Stage 1,PROMISE,BiLSTM,MPNet,0.8762886597938144,0.8608247422680413,0.8608247422680413,0.9226804123711341,0.8860103626943006,0.8813257838790662
