Phase,Dataset,Algorithm,Vectorization,Average
Overall,PROMISE,LinearSVC,Word2Vec,0.7099567330804979
Stage 1,PROMISE,RF,Word2Vec,0.8431120132471556
Stage 2,PROMISE,RF,Word2Vec,0.558187849885963
Overall,PROMISE,RF,Word2Vec,0.6295176539714759
Stage 1,PROMISE,LR,Word2Vec,0.8627156668981358
Stage 2,PROMISE,LR,Word2Vec,0.6722976708825765
Overall,PROMISE,LR,Word2Vec,0.7089471716254472
Stage 1,PROMISE,NB,Word2Vec,0.7956466000747824
Stage 2,PROMISE,NB,Word2Vec,0.5218159513442532
Overall,PROMISE,NB,Word2Vec,0.5892580524544628
Stage 1,PROMISE,XGBoost,Word2Vec,0.8410822071470541
Stage 2,PROMISE,XGBoost,Word2Vec,0.5656797290759554
Overall,PROMISE,XGBoost,Word2Vec,0.6491213076224561
Stage 1,PROMISE,KNN,Word2Vec,0.850360557662518
Stage 2,PROMISE,KNN,Word2Vec,0.5963024396986661
Overall,PROMISE,KNN,Word2Vec,0.6532557021526628
Stage 1,FNFC,LinearSVC,TF-IDF,0.8970254957507082
Stage 2,FNFC,LinearSVC,TF-IDF,0.7582524271844661
Overall,FNFC,LinearSVC,TF-IDF,0.8773371104815864
Stage 1,FNFC,RF,TF-IDF,0.8954674220963172
Stage 2,FNFC,RF,TF-IDF,0.6922330097087379
Overall,FNFC,RF,TF-IDF,0.8766288951841361
Stage 1,FNFC,LR,TF-IDF,0.8954674220963172
Stage 2,FNFC,LR,TF-IDF,0.7436893203883495
Overall,FNFC,LR,TF-IDF,0.876487252124646
Stage 1,FNFC,NB,TF-IDF,0.7140226628895184
Stage 2,FNFC,NB,TF-IDF,0.6038834951456311
Overall,FNFC,NB,TF-IDF,0.6893767705382435
Stage 1,FNFC,XGBoost,TF-IDF,0.8858356940509916
Stage 2,FNFC,XGBoost,TF-IDF,0.6368932038834952
Overall,FNFC,XGBoost,TF-IDF,0.8559490084985836
Stage 1,FNFC,KNN,TF-IDF,0.8950424929178471
Stage 2,FNFC,KNN,TF-IDF,0.6786407766990292
Overall,FNFC,KNN,TF-IDF,0.8818696883852691
Stage 1,FNFC,LinearSVC,SBERT,0.8252124645892351
Stage 2,FNFC,LinearSVC,SBERT,0.7213592233009709
Overall,FNFC,LinearSVC,SBERT,0.7957507082152975
Stage 1,FNFC,RF,SBERT,0.888385269121813
Stage 2,FNFC,RF,SBERT,0.6533980582524272
Overall,FNFC,RF,SBERT,0.8753541076487252
Stage 1,FNFC,LR,SBERT,0.8230878186968837
Stage 2,FNFC,LR,SBERT,0.7300970873786408
Overall,FNFC,LR,SBERT,0.793484419263456
Stage 1,FNFC,NB,SBERT,0.8008498583569406
Stage 2,FNFC,NB,SBERT,0.6883495145631068
Overall,FNFC,NB,SBERT,0.7706798866855524
Stage 1,FNFC,XGBoost,SBERT,0.9001416430594901
Stage 2,FNFC,XGBoost,SBERT,0.6854368932038836
Overall,FNFC,XGBoost,SBERT,0.8821529745042493
Stage 1,FNFC,KNN,SBERT,0.9046742209631728
Stage 2,FNFC,KNN,SBERT,0.6815533980582524
Overall,FNFC,KNN,SBERT,0.8854107648725211
Stage 1,FNFC,LinearSVC,BERT,0.8331444759206799
Stage 2,FNFC,LinearSVC,BERT,0.687378640776699
Overall,FNFC,LinearSVC,BERT,0.8012747875354108
Stage 1,FNFC,RF,BERT,0.8866855524079321
Stage 2,FNFC,RF,BERT,0.5864077669902913
Overall,FNFC,RF,BERT,0.8691218130311615
Stage 1,FNFC,LR,BERT,0.8356940509915015
Stage 2,FNFC,LR,BERT,0.6776699029126214
Overall,FNFC,LR,BERT,0.8029745042492917
Stage 1,FNFC,NB,BERT,0.7715297450424929
Stage 2,FNFC,NB,BERT,0.574757281553398
Overall,FNFC,NB,BERT,0.729886685552408
Stage 1,FNFC,XGBoost,BERT,0.8954674220963172
Stage 2,FNFC,XGBoost,BERT,0.6242718446601941
Overall,FNFC,XGBoost,BERT,0.8726628895184136
Stage 1,FNFC,KNN,BERT,0.893342776203966
Stage 2,FNFC,KNN,BERT,0.59126213592233
Overall,FNFC,KNN,BERT,0.876487252124646
Stage 1,FNFC,LinearSVC,MPNet,0.844900849858357
Stage 2,FNFC,LinearSVC,MPNet,0.7504854368932039
Overall,FNFC,LinearSVC,MPNet,0.8202549575070822
Stage 1,FNFC,RF,MPNet,0.8890934844192635
Stage 2,FNFC,RF,MPNet,0.6601941747572815
Overall,FNFC,RF,MPNet,0.8766288951841359
Stage 1,FNFC,LR,MPNet,0.8464589235127479
Stage 2,FNFC,LR,MPNet,0.7300970873786408
Overall,FNFC,LR,MPNet,0.8191218130311615
Stage 1,FNFC,NB,MPNet,0.7956090651558073
Stage 2,FNFC,NB,MPNet,0.7174757281553399
Overall,FNFC,NB,MPNet,0.7689801699716714
Stage 1,FNFC,XGBoost,MPNet,0.9016997167138809
Stage 2,FNFC,XGBoost,MPNet,0.7038834951456311
Overall,FNFC,XGBoost,MPNet,0.8837110481586402
Stage 1,FNFC,KNN,MPNet,0.9032577903682719
Stage 2,FNFC,KNN,MPNet,0.7
Overall,FNFC,KNN,MPNet,0.8855524079320112
Stage 1,FNFC,LinearSVC,GloVe,0.7722379603399434
Stage 2,FNFC,LinearSVC,GloVe,0.6087378640776698
Overall,FNFC,LinearSVC,GloVe,0.7342776203966006
Stage 1,FNFC,RF,GloVe,0.8698300283286118
Stage 2,FNFC,RF,GloVe,0.5300970873786407
Overall,FNFC,RF,GloVe,0.853257790368272
Stage 1,FNFC,LR,GloVe,0.7715297450424928
Stage 2,FNFC,LR,GloVe,0.6048543689320388
Overall,FNFC,LR,GloVe,0.7358356940509915
Stage 1,FNFC,NB,GloVe,0.5837110481586402
Stage 2,FNFC,NB,GloVe,0.4184466019417476
Overall,FNFC,NB,GloVe,0.5209631728045325
Stage 1,FNFC,XGBoost,GloVe,0.8780453257790368
Stage 2,FNFC,XGBoost,GloVe,0.541747572815534
Overall,FNFC,XGBoost,GloVe,0.8587818696883852
Stage 1,FNFC,KNN,GloVe,0.8689801699716714
Stage 2,FNFC,KNN,GloVe,0.47766990291262135
Overall,FNFC,KNN,GloVe,0.8569405099150142
Stage 1,FNFC,LinearSVC,Word2Vec,0.7889518413597733
Stage 2,FNFC,LinearSVC,Word2Vec,0.6592233009708738
Overall,FNFC,LinearSVC,Word2Vec,0.754957507082153
Stage 1,FNFC,RF,Word2Vec,0.8787535410764873
Stage 2,FNFC,RF,Word2Vec,0.5262135922330098
Overall,FNFC,RF,Word2Vec,0.861756373937677
Stage 1,FNFC,LR,Word2Vec,0.7875354107648725
Stage 2,FNFC,LR,Word2Vec,0.654368932038835
Overall,FNFC,LR,Word2Vec,0.753257790368272
Stage 1,FNFC,NB,Word2Vec,0.4364022662889518
Stage 2,FNFC,NB,Word2Vec,0.43009708737864083
Overall,FNFC,NB,Word2Vec,0.36742209631728046
Stage 1,FNFC,XGBoost,Word2Vec,0.8944759206798867
Stage 2,FNFC,XGBoost,Word2Vec,0.5679611650485437
Overall,FNFC,XGBoost,Word2Vec,0.8728045325779037
Stage 1,FNFC,KNN,Word2Vec,0.8818696883852691
Stage 2,FNFC,KNN,Word2Vec,0.5223300970873787
Overall,FNFC,KNN,Word2Vec,0.8597733711048159
